"userId","num.actions","action_bucket","num.movies","num.tv","perc.movies","name.length","num.liked","num.comments","num.dislikes","perc.liked","recently.active","days.inactive","liked","num.dislikes","num.comments","disliked","commented"
"mayankgupta",10,"med",10,0,1,11,10,0,0,1,"2009-11-19 05:44:19",1281,1,0,0,0,0
"esorhjy",20,"med",20,0,1,7,17,0,3,0.85,"2009-12-02 16:56:49",1268,1,3,0,1,0
"Scotydog",11,"med",9,2,0.818181818181818,8,11,0,0,1,"2009-11-19 12:04:30",1281,1,0,0,0,0
"L_Johem",1,"low",1,0,1,7,1,0,0,1,"2009-11-19 19:50:34",1281,1,0,0,0,0
"arvinloslos",1,"low",1,0,1,11,1,0,0,1,"2009-11-19 23:08:16",1281,1,0,0,0,0
"djkaos",5,"med",5,0,1,6,5,0,0,1,"2009-11-30 06:19:36",1270,1,0,0,0,0
"Caleb_Simmons",1,"low",0,1,0,13,1,0,0,1,"2009-11-20 02:11:26",1280,1,0,0,0,0
"and1v",4,"med",3,1,0.75,5,4,0,0,1,"2009-11-20 10:36:37",1280,1,0,0,0,0
"santana",1,"low",1,0,1,7,1,0,0,1,"2009-11-20 11:43:56",1280,1,0,0,0,0
"arraizaj",1,"low",1,0,1,8,1,0,0,1,"2009-11-20 20:31:36",1280,1,0,0,0,0
"w3weblog",10,"med",10,0,1,8,10,0,0,1,"2009-11-21 17:45:03",1279,1,0,0,0,0
"Chemy",24,"power",21,3,0.875,5,20,0,4,0.833333333333333,"2009-11-21 19:48:33",1279,1,4,0,1,0
"QuiteAud",10,"med",10,0,1,8,10,0,0,1,"2009-11-21 21:35:58",1279,1,0,0,0,0
"justang",22,"power",22,0,1,7,19,0,3,0.863636363636364,"2009-11-22 06:44:36",1278,1,3,0,1,0
"dilly",4,"med",4,0,1,5,4,0,0,1,"2009-11-22 19:45:45",1278,1,0,0,0,0
"Marcvs",1,"low",1,0,1,6,1,0,0,1,"2009-11-22 23:06:04",1278,1,0,0,0,0
"ClaudiaO",7,"med",7,0,1,8,7,0,0,1,"2009-11-23 09:51:34",1277,1,0,0,0,0
"kishurocks",1,"low",0,1,0,10,1,0,0,1,"2009-11-23 18:42:09",1277,1,0,0,0,0
"sparticus24824",10,"med",10,0,1,14,10,0,0,1,"2009-11-23 19:06:36",1277,1,0,0,0,0
"Patra",10,"med",10,0,1,5,10,0,0,1,"2009-11-24 00:22:16",1276,1,0,0,0,0
"mitchellbrooks",1,"low",0,1,0,14,1,0,0,1,"2009-11-24 04:09:06",1276,1,0,0,0,0
"krishntej",10,"med",10,0,1,9,10,0,0,1,"2009-11-24 05:10:52",1276,1,0,0,0,0
"golf62657",1,"low",1,0,1,9,1,0,0,1,"2009-11-24 10:17:25",1276,1,0,0,0,0
"Alilus",10,"med",10,0,1,6,10,0,0,1,"2009-11-24 14:02:52",1276,1,0,0,0,0
"sastanga",1,"low",1,0,1,8,1,0,0,1,"2009-11-24 13:19:52",1276,1,0,0,0,0
"gamalsharks",11,"med",11,0,1,11,11,0,0,1,"2009-11-24 15:59:16",1276,1,0,0,0,0
